BHID,DM,XCOLLAR,YCOLLAR,ZCOLLAR,YEAR,ZCONVERS,DEPTH,DATUMZON,SURVMETH,PROSPECT,SELMOD,STARTDATE,ENDDATE,COMMENTS,BHIDNICK,CHKLITHO,CHKASSAY,CHKSURVE
BAU-MIL5-FD0143,803503_1971,187363.58,9640750.82,135.99,2004,NONE,14.65,SAD69_23S,SURV,MIL5,MIL5,18_06_2004,18_06_2004,,MIL5-FD0143,BAU-MIL5-FD0143,BAU-MIL5-FD0143,BAU-MIL5-FD0143
BAU-MIL5-FD0144,803503_1971,188154.28,9640751.84,130.6,2004,NONE,14.85,SAD69_23S,SURV,MIL5,MIL5,18_06_2004,18_06_2004,,MIL5-FD0144,BAU-MIL5-FD0144,BAU-MIL5-FD0144,BAU-MIL5-FD0144
BAU-MIL5-FD0145,803503_1971,188966.54,9640751.59,125.78,2004,NONE,14.75,SAD69_23S,SURV,MIL5,MIL5,19_06_2004,19_06_2004,,MIL5-FD0145,BAU-MIL5-FD0145,BAU-MIL5-FD0145,BAU-MIL5-FD0145
BAU-MIL5-FD0146,803503_1971,185762.15,9637951.14,140.76,2004,NONE,17.55,SAD69_23S,SURV,MIL5,MIL5,19_06_2004,19_06_2004,,MIL5-FD0146,BAU-MIL5-FD0146,BAU-MIL5-FD0146,BAU-MIL5-FD0146
BAU-MIL5-FD0147,803503_1971,186165.08,9637950.7,141.74,2004,NONE,14.85,SAD69_23S,SURV,MIL5,MIL5,19_06_2004,19_06_2004,,MIL5-FD0147,BAU-MIL5-FD0147,BAU-MIL5-FD0147,BAU-MIL5-FD0147
BAU-MIL5-FD0148,803503_1971,186563.39,9637950.61,140.118,2004,NONE,15.85,SAD69_23S,SURV,MIL5,MIL5,19_06_2004,19_06_2004,,MIL5-FD0148,BAU-MIL5-FD0148,BAU-MIL5-FD0148,BAU-MIL5-FD0148
BAU-MIL5-FD0149,803503_1971,186962.7,9637951.29,133.58,2004,NONE,12.55,SAD69_23S,SURV,MIL5,MIL5,27_10_2004,27_10_2004,,MIL5-FD0149,BAU-MIL5-FD0149,BAU-MIL5-FD0149,BAU-MIL5-FD0149
BAU-MIL5-FD0150,803503_1971,184166.33,9641550.69,129.89,2004,NONE,12.65,SAD69_23S,SURV,MIL5,MIL5,21_06_2004,21_06_2004,,MIL5-FD0150,BAU-MIL5-FD0150,BAU-MIL5-FD0150,BAU-MIL5-FD0150
BAU-MIL5-FD0151,803503_1971,184962.95,9641550.16,131.06,2004,NONE,13.9,SAD69_23S,SURV,MIL5,MIL5,21_06_2004,21_06_2004,,MIL5-FD0151,BAU-MIL5-FD0151,BAU-MIL5-FD0151,BAU-MIL5-FD0151
BAU-MIL5-FD0152,803503_1971,186560.46,9641551.46,134.31,2004,NONE,15.6,SAD69_23S,SURV,MIL5,MIL5,21_06_2004,21_06_2004,,MIL5-FD0152,BAU-MIL5-FD0152,BAU-MIL5-FD0152,BAU-MIL5-FD0152
BAU-MIL5-FD0153,803503_1971,187363.46,9641551.88,133.71,2004,NONE,14.65,SAD69_23S,SURV,MIL5,MIL5,21_06_2004,21_06_2004,,MIL5-FD0153,BAU-MIL5-FD0153,BAU-MIL5-FD0153,BAU-MIL5-FD0153
BAU-MIL5-FD0154,803503_1971,188164.27,9641552.76,131.99,2004,NONE,14.25,SAD69_23S,SURV,MIL5,MIL5,22_06_2004,22_06_2004,,MIL5-FD0154,BAU-MIL5-FD0154,BAU-MIL5-FD0154,BAU-MIL5-FD0154
BAU-MIL5-FD0155,803503_1971,188966.35,9641553.89,124.87,2004,NONE,12.95,SAD69_23S,SURV,MIL5,MIL5,22_06_2004,22_06_2004,,MIL5-FD0155,BAU-MIL5-FD0155,BAU-MIL5-FD0155,BAU-MIL5-FD0155
BAU-MIL5-FD0157,803503_1971,181769.09,9642353.71,122.68,2004,NONE,15.9,SAD69_23S,SURV,MIL5,MIL5,24_06_2004,24_06_2004,,MIL5-FD0157,BAU-MIL5-FD0157,BAU-MIL5-FD0157,BAU-MIL5-FD0157
